data,dia_semana,pontuacao,regularidade,duracao,sono_leve,%Sono_leve,sono_profundo,%Sono_profundo,REM,%REM,tempo_acordado,vezes_acordado
2025-05-01,quinta-feira,72,90,478,337,70.5,39,8.16,102,21.34,6,3
2025-05-02,sexta-feira,93,90,464,314,67.67,80,17.24,70,15.09,6,1
2025-05-03,sábado,80,90,539,360,66.79,83,15.4,96,17.81,12,4
2025-05-04,domingo,77,95,515,338,65.63,72,13.98,105,20.39,29,4
2025-05-05,segunda-feira,85,89,428,258,60.28,72,16.82,98,22.9,15,2
2025-05-06,terça-feira,89,88,420,269,64.05,66,15.71,85,20.24,8,2
2025-05-07,quarta-feira,85,88,408,241,59.07,84,20.59,83,20.34,16,2
2025-05-08,quinta-feira,82,87,387,272,70.28,69,17.83,46,11.89,6,2
2025-05-09,sexta-feira,79,80,368,196,53.26,88,23.91,84,22.83,5,3
2025-05-10,sábado,79,82,398,263,66.08,58,14.57,77,19.35,7,2
2025-05-11,domingo,63,84,390,284,72.82,40,10.26,66,16.92,22,3
2025-05-12,segunda-feira,82,78,410,304,74.15,48,11.71,58,14.15,5,1
2025-05-13,terça-feira,90,75,385,242,62.86,75,19.48,68,17.66,0,0
2025-05-14,quarta-feira,82,77,351,232,66.1,76,21.65,43,12.25,22,1
2025-05-15,quinta-feira,87,79,381,208,54.59,80,21.0,93,24.41,3,1
2025-05-16,sexta-feira,76,82,429,310,72.26,44,10.26,75,17.48,7,2
2025-05-17,sábado,88,88,525,337,64.19,109,20.76,79,15.05,9,2
2025-05-18,domingo,76,92,524,364,69.47,75,14.31,85,16.22,24,5
2025-05-19,segunda-feira,69,84,395,251,63.54,42,10.63,102,25.82,15,4
2025-05-20,terça-feira,84,84,406,271,66.75,51,12.56,84,20.69,15,1
2025-05-21,quarta-feira,84,84,438,261,59.59,100,22.83,77,17.58,18,4
2025-05-22,quinta-feira,73,77,348,240,68.97,57,16.38,51,14.66,11,2
2025-05-23,sexta-feira,88,76,469,338,72.07,64,13.65,67,14.29,3,1
2025-05-24,sábado,88,78,453,294,64.9,88,19.43,71,15.67,13,2
2025-05-25,domingo,80,87,534,376,70.41,85,15.92,73,13.67,11,3
2025-05-26,segunda-feira,79,74,340,242,71.18,56,16.47,42,12.35,4,1
2025-05-27,terça-feira,73,71,351,258,73.5,42,11.97,51,14.53,1,1
2025-05-28,quarta-feira,80,76,409,285,69.68,55,13.45,69,16.87,17,2
